ID	hg19_coordinates	hg19_bracketing_genes	hg38_coordinates	mm9_coordinates	mm9_bracketing_genes	mm10_coordinates
hs677	chr1:10593123-10594209	PEX14(intragenic)	chr1:10533066-10534152	chr4:148418158-148419242	Pex14(intragenic)	chr4:149044049-149045133
mm1566	chr1:10655909-10658724	PEX14(intragenic)	chr1:10595852-10598667	chr4:148358843-148361360	Pex14(intragenic)	chr4:148984734-148987251
hs289	chr1:10732070-10733118	CASZ1(intragenic)	chr1:10672013-10673061	chr4:148295613-148296681	Casz1(intragenic)	chr4:148921504-148922572
hs361	chr1:10757664-10758631	CASZ1(intragenic)	chr1:10697607-10698574	chr4:148271337-148272328	Casz1(intragenic)	chr4:148897228-148898219
hs389	chr1:10781239-10781744	CASZ1(intragenic)	chr1:10721182-10721687	chr4:148250217-148250768	Casz1(intragenic)	chr4:148876108-148876659
mm1532	chr1:10794478-10795983	CASZ1(intragenic)	chr1:10734421-10735926	chr4:148233580-148235065	Casz1(intragenic)	chr4:148859471-148860956
hs2094	chr1:10795106-10799241	CASZ1(intragenic)	chr1:10735049-10739184	chr4:148230062-148234441	Casz1(intragenic)	chr4:148855953-148860332
hs408	chr1:10851570-10852173	CASZ1(intragenic)	chr1:10791513-10792116	chr4:148182890-148183525	Casz1(intragenic)	chr4:148808781-148809416
hs417	chr1:10925202-10925728	CASZ1-C1orf127	chr1:10865145-10865671	chr4:148118423-148118970	Gm572-Casz1	chr4:148744314-148744861
hs241	chr1:10965129-10966144	CASZ1-C1orf127	chr1:10905072-10906087	chr4:148082233-148083305	Gm572-Casz1	chr4:148708124-148709196
hs2216	chr1:109795696-109798850	CELSR2(intragenic)	chr1:109253074-109256228	chr3:108212521-108215418	Celsr2(intragenic)	chr3:108409603-108412500
hs2263	chr1:109816874-109818905	CELSR2-PSRC1	chr1:109274252-109276283	chr3:108192852-108195360	Psrc1-Sars	chr3:108389934-108392442
mm143	chr1:113540023-113542060	SLC16A1-AS1-LOC100996251	chr1:112997401-112999438	chr3:104400858-104404522	Lrig2-Slc16a1	chr3:104596935-104600599
hs1672	chr1:113540056-113542020	SLC16A1-AS1-LOC100996251	chr1:112997434-112999398	chr3:104400901-104404489	Lrig2-Slc16a1	chr3:104596978-104600566
